Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
357,8070RS,796.5,826,8125T,61,758,8165D10,248
360,8070RXL,796.5,834,8126,60,757,8165D65,244
353,8070S,731.5,827,8130T,65,819,8175,120
356,8070XL,731.5,828,8135T,68.5,820,8200,138.5
363,8073L,723,516,81412X3X,192,822,820020,266
362,8073M,723,515,8141LXL,192,833,8200DH,146.5
342,8073QC2X,835.5,514,8141SM,192,831,8200T,137.5
343,8073QC3X,836.5,519,81432X3X,190,625,8202,37
367,8073QCL,834,518,8143LXL,190,779,8203,39.5
366,8073QCM,834,517,8143SM,190,778,820324,38.5
365,8073QCS,834,817,8149,87.5,785,82033,54
368,8073QCXL,834,829,8149T,86.5,780,8204,40.5
371,8073RL,779.5,818,8150,94.5,786,82043,55
370,8073RM,779.5,823,8150250,301.5,781,8206,41.5
369,8073RS,779.5,824,8150300,333,787,82063,56
372,8073RXL,779.5,821,81505,189,782,82068,45
361,8073S,723,825,8150500,449,783,8206Y,78
364,8073XL,723,832,8150DH,100.5,784,8206Y3,106
373,8076,374.5,830,8150T,93.5,909,8208,61.5
376,8076RL,458.5,835,8151,92.5,795,8209,44
375,8076RM,458.5,836,8151T,91.5,797,820910,48
374,8076RS,458.5,773,8153,56,798,820912,50
377,8076RXL,458.5,776,81533,70.5,799,820920,61
380,8081L,490,774,8154,57,800,82093,59
379,8081M,490,775,8156,58,801,82095K,59
378,8081S,490,777,81563,72.5,796,82098,46
381,8081XL,490,759,8.17E+13,237,802,8209AF,101.5
384,8084L,462,760,8.17E+68,241,657,8240,60.5
383,8084M,462,752,8165A10,178.5,660,82403,78
382,8084S,462,751,8165A65,174.5,663,824032D,111.5
662,82403A,100,738,8246Y3,132,698,82563,71.5
661,82403L,73.5,633,8247B,80,714,82563PC,104
659,8240A,85,635,8247B3,97.5,710,8256EL,61
658,8240L,56.5,634,8247BA,104,711,8256EL3,83.5
664,8240Y,86,636,8247BY,104,712,8256ELY3,114
666,8240Y2D,102,637,8247BY3,146,680,8256LT,50
667,8240Y3,114.5,638,8247BY3A,193.5,682,8256LT3,66
670,8240Y32D,141,639,8247EA,133,679,8256LT3FT,48
671,8240Y32D2R,146,645,8247ELY3D,193.5,681,8256LTL,45.5
669,8240Y3A,168.5,640,8247EY,126.5,683,8256LTY,71.5
668,8240Y3L,108.5,641,8247EY3,167.5,684,8256LTY3,97.5
665,8240YA,122.5,642,8247EY3A,213,713,8256PC,87.5
733,8241,80,644,8247EY3AR,240,690,8257,58
734,8241Y,117.5,643,8247EY3R,193.5,672,8259,44
725,8242,148,646,8247Y,105,674,82593,65
726,82423,163.5,647,8247Y3,149.5,675,82593L,61
723,82423AF,190.5,761,8250,122.5,673,8259L,41
718,82423L,175.5,763,825010LK,121.5,676,8259Y,66
717,82424L,155.5,766,825012W,95,677,8259Y3,96.5
721,8242AF,172.5,762,82506L,120.5,678,8259Y3L,89.5
716,8242L,157.5,764,8250A,150,705,826073,92.5
727,8242Y,242,767,8250LT,97,707,8260732D,118
728,8242Y3,257.5,768,8250LT10LK,95,703,8260733FT,90.5
724,8242Y3AF,271.5,769,8250LTW,76.5,704,8260734,91.5
720,8242Y3L,243.5,770,8250LTWA,130,708,8260734A,142.5
722,8242YAF,222.5,765,8250W,96,709,826073A,144.5
719,8242YL,207.5,771,8252,86,706,826073ADJ,103
729,8243,144,772,8252LT,66.5,715,826073PC,150.5
